ID,Protein Name,host.sim,deg.sim,GO ID,GO Terms,Domain ID,Domain Name,domain.sim,Druggable,Predict Score
sp|Q8MMZ8|KGP_EIMTE,cGMP-dependent protein kinase,0.0,61.6,GO:0004672;GO:0005524,protein kinase activity (molecular_function);ATP binding (molecular_function),PF00069.28;PF00069.28;PF00069.28;PF00027.32;PF00027.32;PF00027.32;PF00027.32;PF00027.32;PF07714.20;PF07714.20;PF14531.9;PF14531.9;PF07883.14;PF07883.14;PF07883.14;PF07883.14;PF07883.14,Pkinase;Pkinase;Pkinase;cNMP_binding;cNMP_binding;cNMP_binding;cNMP_binding;cNMP_binding;PK_Tyr_Ser-Thr;PK_Tyr_Ser-Thr;Kinase-like;Kinase-like;Cupin_2;Cupin_2;Cupin_2;Cupin_2;Cupin_2,0.0,Positive,0.9882287925543262
tr|U6KHR5|U6KHR5_EIMTE,Probable ATP-dependent 6-phosphofructokinase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|U6L3G0|U6L3G0_EIMTE,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase,0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|A0A2U8UR64|A0A2U8UR64_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|A0A2U8URC0|A0A2U8URC0_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|A0A2U8URG2|A0A2U8URG2_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|A1Z2V0|A1Z2V0_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XER0|B8XER0_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XER1|B8XER1_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
tr|B8XER2|B8XER2_EIMTE,Cytochrome c oxidase subunit 1 (Fragment),0.0,0.0,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck,uncheck
